
Naive Bayes Classifier

                Class
Attribute           A      C      D      E      F      G      H      L      P      R
                  (0)    (0) (0.12) (0.12)  (0.1) (0.15) (0.12) (0.07) (0.15) (0.17)
=====================================================================================
OBJNUM
  49               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0    1.0
  50               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  51               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0
  52               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    2.0    1.0
  53               1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    1.0    3.0
  [total]         54.0   54.0 2485.0 2554.0 2054.0 3067.0 2554.0 1554.0 3043.0 3557.0

YY2
  -2               1.0    1.0    1.0   86.0    1.0    1.0    1.0    1.0    1.0    1.0
  -1               1.0    1.0    1.0   81.0    1.0    1.0    1.0    1.0    1.0    1.0
  0                1.0    1.0  484.0  185.0    1.0    1.0    1.0  159.0    1.0  501.0
  1                1.0    1.0    1.0   87.0    1.0    1.0    1.0  167.0    1.0    1.0
  2                1.0    1.0    1.0   66.0    1.0   19.0    1.0  177.0    1.0    1.0
  3                1.0    1.0   14.0    1.0    1.0   29.0    1.0    1.0    1.0    1.0
  4                1.0    1.0   46.0    8.0   10.0   80.0    1.0    1.0    1.0    1.0
  5                1.0    1.0   80.0    9.0   10.0   51.0    1.0    1.0    1.0    1.0
  6                1.0    1.0   99.0   32.0   40.0  253.0  107.0   22.0  118.0  120.0
  7                1.0    1.0   57.0   50.0   45.0  190.0  107.0   20.0   20.0   21.0
  8                1.0    1.0  109.0   44.0   64.0  291.0  112.0   34.0   20.0    8.0
  9                1.0    1.0   51.0   37.0   44.0  212.0  108.0   24.0   18.0   12.0
  10               1.0    1.0  108.0   52.0   39.0  275.0   99.0   28.0   23.0   18.0
  11               1.0    1.0   39.0   55.0   50.0  231.0  113.0   22.0   25.0   24.0
  12               1.0    1.0   92.0   63.0   51.0  126.0  133.0   26.0   29.0   39.0
  13               1.0    1.0   34.0   53.0   63.0   43.0   86.0   27.0   28.0   37.0
  14               1.0    1.0   57.0   64.0   65.0   72.0   90.0   25.0   41.0   39.0
  15               1.0    1.0   44.0   55.0   61.0   50.0   86.0   37.0   43.0   26.0
  16               1.0    1.0   83.0   74.0   66.0   91.0   83.0   25.0   68.0   56.0
  17               1.0    1.0   22.0   59.0   61.0   43.0   92.0   38.0   36.0   45.0
  18               1.0    1.0   98.0   54.0   67.0   55.0   81.0   40.0   42.0   73.0
  19               1.0    1.0   41.0   81.0   81.0   39.0   75.0   50.0   45.0   37.0
  20               1.0    1.0   81.0   88.0   70.0   64.0   80.0   32.0   88.0   86.0
  21               1.0    1.0   79.0   83.0   83.0   33.0   86.0   39.0   85.0   80.0
  22               1.0    1.0   58.0   77.0   75.0   52.0   87.0   30.0   83.0   69.0
  23               1.0    1.0   31.0   79.0   87.0   26.0   80.0   41.0   82.0   77.0
  24               1.0    1.0  141.0   84.0   72.0   72.0   73.0   33.0   85.0   92.0
  25               1.0    1.0   42.0   77.0   95.0   37.0   73.0   45.0   88.0   90.0
  26               1.0    1.0   62.0   53.0   48.0   48.0   48.0   20.0   84.0   89.0
  27               1.0    1.0   52.0   46.0   43.0   18.0   57.0   19.0   88.0   69.0
  28               1.0    1.0   22.0   48.0   35.0   44.0   53.0   23.0   92.0   76.0
  29               1.0    1.0   32.0   35.0   36.0   29.0   37.0   22.0   82.0  106.0
  30               1.0    1.0   69.0   43.0   40.0   59.0   50.0   21.0  111.0  101.0
  31               1.0    1.0   27.0   53.0   48.0   28.0   47.0   26.0   93.0   96.0
  32               1.0    1.0   25.0   47.0   44.0   40.0   48.0   32.0   86.0   84.0
  33               1.0    1.0   29.0   44.0   52.0   16.0   37.0   32.0   76.0   82.0
  34               1.0    1.0   37.0   45.0   45.0   51.0   38.0   23.0  122.0   91.0
  35               1.0    1.0   26.0   33.0   46.0   22.0   32.0   10.0   79.0  101.0
  36               1.0    1.0   30.0   43.0   41.0   46.0   29.0   15.0  105.0  115.0
  37               1.0    1.0   15.0   39.0   26.0    9.0   36.0   17.0   78.0   97.0
  38               1.0    1.0   21.0   36.0   30.0   32.0   38.0   23.0   85.0   76.0
  39               1.0    1.0   32.0   25.0   30.0    8.0   30.0   20.0   94.0   90.0
  40               1.0    1.0    1.0   31.0   31.0   28.0   25.0   18.0   52.0   56.0
  41               1.0    1.0    1.0   25.0   29.0    9.0   16.0   13.0   61.0   54.0
  42               1.0    1.0    1.0   22.0   27.0   31.0   10.0   10.0   64.0   89.0
  43               1.0    1.0    1.0   19.0   25.0    1.0   12.0   13.0   58.0   56.0
  44               1.0    1.0    1.0   11.0   16.0   23.0    8.0    9.0   43.0   50.0
  45               1.0    1.0    1.0   17.0   12.0    1.0   12.0    9.0   44.0   41.0
  46               1.0    1.0    1.0   14.0   14.0   26.0    6.0   13.0   42.0   45.0
  47               1.0    1.0    1.0   15.0   12.0    1.0   10.0    5.0   56.0   43.0
  48               1.0    1.0    1.0   11.0   10.0   27.0    5.0    9.0   39.0   40.0
  49               1.0    1.0    1.0    9.0    5.0    1.0    4.0    2.0   31.0   48.0
